district,keyword
Ярославский,Ярославское
Очаково-Матвеевское,Озерная
Очаково-Матвеевское,Лобачевского
Обручевский,Обручева
Отрадное,Северный бульвар
Хорошевский,Хорошёвская
Левобережный,Смольная
Южное Бутово,Поляны
Строгино,"МКАД, 67"

